name,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,like
Remember,0.000612,https://api.spotify.com/v1/audio-analysis/5pi92twyOpbH1EM7ITgPzC,0.494,218500,0.966,5pi92twyOpbH1EM7ITgPzC,0.0,7,0.368,-3.378,0,0.0709,90.05799999999998,4,https://api.spotify.com/v1/tracks/5pi92twyOpbH1EM7ITgPzC,audio_features,spotify:track:5pi92twyOpbH1EM7ITgPzC,0.466,0.0
Napkins,0.431,https://api.spotify.com/v1/audio-analysis/37b1KAbfOZeBzeMB0LGO3g,0.747,215625,0.444,37b1KAbfOZeBzeMB0LGO3g,1.25e-06,0,0.106,-8.976,0,0.386,144.138,4,https://api.spotify.com/v1/tracks/37b1KAbfOZeBzeMB0LGO3g,audio_features,spotify:track:37b1KAbfOZeBzeMB0LGO3g,0.66,1.0
Devil's Night,0.00182,https://api.spotify.com/v1/audio-analysis/4Ilqy967hRan3HCFNDztOW,0.244,236973,0.99,4Ilqy967hRan3HCFNDztOW,0.445,11,0.0759,-2.7260000000000004,0,0.209,133.408,4,https://api.spotify.com/v1/tracks/4Ilqy967hRan3HCFNDztOW,audio_features,spotify:track:4Ilqy967hRan3HCFNDztOW,0.196,0.0
Suitcase,0.267,https://api.spotify.com/v1/audio-analysis/5HlFO9E6TgsCpJWVjguZDl,0.669,214747,0.396,5HlFO9E6TgsCpJWVjguZDl,0.0,0,0.0913,-8.724,1,0.0545,86.927,4,https://api.spotify.com/v1/tracks/5HlFO9E6TgsCpJWVjguZDl,audio_features,spotify:track:5HlFO9E6TgsCpJWVjguZDl,0.546,1.0
King for a Day (feat. Kellin Quinn),3.84e-05,https://api.spotify.com/v1/audio-analysis/13D36vAQxgYzwK1qI3IVGr,0.416,236293,0.963,13D36vAQxgYzwK1qI3IVGr,0.00047,6,0.274,-2.285,1,0.104,112.41,4,https://api.spotify.com/v1/tracks/13D36vAQxgYzwK1qI3IVGr,audio_features,spotify:track:13D36vAQxgYzwK1qI3IVGr,0.455,0.0
Sugar Wraith,0.26,https://api.spotify.com/v1/audio-analysis/0MrRAUcB8AZiB9ue2VOBYe,0.6,228147,0.767,0MrRAUcB8AZiB9ue2VOBYe,0.0,5,0.0979,-4.232,0,0.0868,164.079,4,https://api.spotify.com/v1/tracks/0MrRAUcB8AZiB9ue2VOBYe,audio_features,spotify:track:0MrRAUcB8AZiB9ue2VOBYe,0.29100000000000004,1.0
High Horse,0.0325,https://api.spotify.com/v1/audio-analysis/2U2Z1IXnmJIvlknWizFykZ,0.725,213693,0.674,2U2Z1IXnmJIvlknWizFykZ,3.55e-06,11,0.0531,-5.254,0,0.0363,120.057,4,https://api.spotify.com/v1/tracks/2U2Z1IXnmJIvlknWizFykZ,audio_features,spotify:track:2U2Z1IXnmJIvlknWizFykZ,0.773,1.0
Falling For Boys,0.463,https://api.spotify.com/v1/audio-analysis/5AmTHXOp1sTFkYZBRBQ7zt,0.499,183720,0.468,5AmTHXOp1sTFkYZBRBQ7zt,0.0,0,0.128,-6.649,1,0.111,147.707,4,https://api.spotify.com/v1/tracks/5AmTHXOp1sTFkYZBRBQ7zt,audio_features,spotify:track:5AmTHXOp1sTFkYZBRBQ7zt,0.4320000000000001,1.0
You're Somebody Else,0.8440000000000001,https://api.spotify.com/v1/audio-analysis/1hV75RKxZt8p9C79mQVGgy,0.713,218883,0.451,1hV75RKxZt8p9C79mQVGgy,0.00317,1,0.105,-9.64,1,0.0294,102.972,4,https://api.spotify.com/v1/tracks/1hV75RKxZt8p9C79mQVGgy,audio_features,spotify:track:1hV75RKxZt8p9C79mQVGgy,0.238,1.0
Everytime,0.000328,https://api.spotify.com/v1/audio-analysis/5m2qjO0boOyrDnkrlWjAUC,0.277,246493,0.96,5m2qjO0boOyrDnkrlWjAUC,0.00101,3,0.119,-3.4730000000000003,1,0.127,121.361,4,https://api.spotify.com/v1/tracks/5m2qjO0boOyrDnkrlWjAUC,audio_features,spotify:track:5m2qjO0boOyrDnkrlWjAUC,0.0881,0.0
Waiting,0.000671,https://api.spotify.com/v1/audio-analysis/1m6miya04zNlUTaa8nXZJe,0.3720000000000001,177947,0.858,1m6miya04zNlUTaa8nXZJe,0.0,5,0.192,-2.9330000000000003,1,0.0404,166.891,4,https://api.spotify.com/v1/tracks/1m6miya04zNlUTaa8nXZJe,audio_features,spotify:track:1m6miya04zNlUTaa8nXZJe,0.649,0.0
17,0.502,https://api.spotify.com/v1/audio-analysis/0ND8rF8oirMXtE59n585P6,0.77,182800,0.463,0ND8rF8oirMXtE59n585P6,0.0,4,0.117,-6.9570000000000025,1,0.0512,97.99,4,https://api.spotify.com/v1/tracks/0ND8rF8oirMXtE59n585P6,audio_features,spotify:track:0ND8rF8oirMXtE59n585P6,0.391,1.0
Lying from You,0.00777,https://api.spotify.com/v1/audio-analysis/3BmjRmFTESgWZLPSVGp8aG,0.535,175373,0.951,3BmjRmFTESgWZLPSVGp8aG,0.0,3,0.0669,-3.324,0,0.18,160.102,4,https://api.spotify.com/v1/tracks/3BmjRmFTESgWZLPSVGp8aG,audio_features,spotify:track:3BmjRmFTESgWZLPSVGp8aG,0.723,0.0
